node_id,node_type,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
LOC_01,Location,-0.11057087562873691,-0.09088790568769897,-0.13084531098014188,-0.1161232590375362,-0.05447806638033572,0.19631921372693995,0.07388081920973158,-0.1290350109060311,0.16684120723688975,0.05503673059386452,-0.04107976541480632,0.0723320273997475,0.0039859449974248215,0.14439516446303663,-0.13711516868839288,0.3465604384665521
LOC_02,Location,-0.04223228216723492,0.045098262569219935,-0.03536413456191868,-0.04120912559353875,0.019434135237530226,0.023429778992829237,-0.017303291693160354,0.012807152908219705,0.09048900725001685,-0.0913223261433887,-0.04405297075915145,-0.04676640341661265,0.049300823127148875,-0.04792199099193365,-0.1861078012278188,0.18348071434478375
LOC_03,Location,0.07707378818254113,-0.0816994850286883,0.045862460712331236,0.053795347138048975,0.03810995317385638,0.03149524079481761,0.037145014890369886,-0.03760025282887551,-0.04635109983959718,0.04974303444994529,0.02899321340602703,0.029502405706203022,0.10889095032451772,-0.11114201508267292,-0.2101879535772881,0.2071543527152485
LOC_04,Location,0.10370328413711015,-0.051060066288028734,0.09494800748687554,0.10778632173271978,-0.069576305253145,-0.022307984155002028,-0.052058334769921215,0.028197361797280312,0.04152353928557713,-0.10535482497118037,0.17541643150784755,0.15249471012198978,-0.0550450197424351,0.054464880976916395,-0.17062541860877972,0.2053965818944007
LOC_05,Location,0.015073219591923976,0.07589595166448876,0.011411134650205535,-0.0009092751551928428,0.023089094733543092,0.02244824045062642,-0.010599894244238349,0.03263442670279259,0.056698923235086525,-0.019325772286173413,-0.011781759762188497,0.00047015139091836515,0.01478019545299351,-0.04234069682030079,-0.1373776455363079,0.16746051605895335
LOC_06,Location,0.0174535971065026,0.02181004068089361,0.06958076428871791,-0.0013349359748781177,-0.005830280787249473,-0.017752469340439163,0.05102126286039791,0.110337923974462,-0.06618555523810928,0.06483386526662556,-0.027123732427983875,-0.07014921512569497,-0.048388110782437814,0.06683174707899078,-0.14151304355411684,0.2521099592061299
LOC_07,Location,-0.007621205295322823,0.13560821329661876,0.00648475435328143,0.02390039467814633,0.0498434159638687,0.02717022337983184,0.030455135131765745,-0.007934320444277656,0.02300832792002163,-0.029751642849731263,0.018986330418956206,0.028737004803746906,0.019790857811421328,-0.02117771575771225,-0.14978271875523597,0.18816867506615287
LOC_08,Location,-0.0252481792813514,0.010345495956896765,0.014830108180047373,-0.06459684963505413,0.013707411511258085,0.00406240286180861,-0.05347011660762627,0.008096068085953695,0.024613485142244384,0.10584211326244626,-0.03964665200240505,0.008105076643849159,-0.166771943222597,-0.07791297199823823,-0.1352002498066723,0.2557172615506005
LOC_09,Location,-0.019681939171151897,0.014729271454307833,0.030117190349008074,-0.04771364331211015,-0.040375282939352546,-0.060068971199545525,-0.05816394626504442,0.0015654490643465403,-0.14828193513174961,-0.20161989516952003,0.03672503100098404,-0.03230773251906371,0.06880281727557731,-0.04893179883140134,-0.11597586801173422,0.2839978220873057
LOC_10,Location,-0.032976697714466006,-0.0040631551290717625,-0.03253256704470104,0.13835078467901643,0.03776134578082293,-0.15021038483997673,-0.0750571944210857,0.04663631105016024,-0.017776353558244067,0.07687751208369231,-0.09572580509337475,-0.1598712168468014,0.006003233151270581,0.09886759275200405,-0.15552091518009206,0.2490643997631674
