transaction_id,product_id,quantity,unit_price,discount,item_total
TXN_000001,PRD_0061,1,538.38,0.0,538.38
TXN_000002,PRD_0090,1,466.1,0.05,442.8
TXN_000003,PRD_0035,1,495.02,0.15,420.77
TXN_000003,PRD_0091,2,205.33,0.1,369.59
TXN_000004,PRD_0001,1,524.05,0.0,524.05
TXN_000005,PRD_0012,1,684.54,0.25,513.4
TXN_000005,PRD_0031,1,721.91,0.0,721.91
TXN_000006,PRD_0081,1,103.22,0.0,103.22
TXN_000006,PRD_0031,2,721.91,0.0,1443.82
TXN_000007,PRD_0041,1,209.72,0.1,188.75
TXN_000008,PRD_0071,1,276.94,0.0,276.94
TXN_000008,PRD_0077,1,313.12,0.0,313.12
TXN_000009,PRD_0055,2,235.66,0.0,471.32
TXN_000009,PRD_0066,1,391.92,0.05,372.32
TXN_000009,PRD_0082,1,842.63,0.05,800.5
TXN_000010,PRD_0080,1,388.43,0.0,388.43
TXN_000010,PRD_0001,1,524.05,0.1,471.64
TXN_000010,PRD_0090,4,466.1,0.0,1864.4
TXN_000010,PRD_0021,2,63.26,0.05,120.19
TXN_000011,PRD_0090,1,466.1,0.0,466.1
TXN_000012,PRD_0025,2,561.81,0.15,955.08
TXN_000013,PRD_0008,1,578.95,0.1,521.06
TXN_000013,PRD_0013,1,121.79,0.0,121.79
TXN_000014,PRD_0086,1,872.25,0.0,872.25
TXN_000014,PRD_0067,1,112.35,0.05,106.73
TXN_000015,PRD_0027,1,286.73,0.0,286.73
TXN_000016,PRD_0067,1,112.35,0.1,101.11
TXN_000017,PRD_0025,1,561.81,0.05,533.72
TXN_000018,PRD_0082,1,842.63,0.0,842.63
TXN_000018,PRD_0053,1,422.1,0.0,422.1
TXN_000019,PRD_0018,2,134.99,0.0,269.98
TXN_000019,PRD_0036,1,726.43,0.05,690.11
TXN_000020,PRD_0056,1,148.33,0.05,140.91
TXN_000020,PRD_0037,1,632.48,0.0,632.48
TXN_000021,PRD_0077,1,313.12,0.0,313.12
TXN_000021,PRD_0090,1,466.1,0.0,466.1
TXN_000021,PRD_0070,2,476.25,0.05,904.88
TXN_000022,PRD_0030,1,179.85,0.05,170.86
TXN_000023,PRD_0077,1,313.12,0.05,297.46
TXN_000024,PRD_0071,1,276.94,0.1,249.25
TXN_000024,PRD_0048,1,706.28,0.05,670.97
TXN_000025,PRD_0010,1,210.24,0.0,210.24
TXN_000026,PRD_0045,40,178.57,0.1,6428.52
TXN_000026,PRD_0012,1,684.54,0.0,684.54
TXN_000026,PRD_0030,1,179.85,0.0,179.85
TXN_000027,PRD_0008,1,578.95,0.05,550.0
TXN_000028,PRD_0057,1,221.44,0.0,221.44
TXN_000028,PRD_0019,2,661.28,0.0,1322.56
TXN_000029,PRD_0005,1,510.18,0.0,510.18
TXN_000029,PRD_0082,2,842.63,0.0,1685.26
TXN_000029,PRD_0027,1,286.73,0.0,286.73
TXN_000029,PRD_0036,1,726.43,0.05,690.11
TXN_000030,PRD_0040,1,63.65,0.1,57.28
TXN_000030,PRD_0075,1,281.62,0.05,267.54
TXN_000030,PRD_0064,1,481.03,0.05,456.98
TXN_000030,PRD_0045,1,178.57,0.0,178.57
TXN_000031,PRD_0043,1,529.62,0.0,529.62
TXN_000031,PRD_0056,4,148.33,0.0,593.32
TXN_000032,PRD_0050,3,442.53,0.05,1261.21
TXN_000033,PRD_0029,1,412.36,0.0,412.36
TXN_000033,PRD_0069,1,274.25,0.0,274.25
TXN_000033,PRD_0087,2,181.86,0.0,363.72
TXN_000034,PRD_0008,2,578.95,0.0,1157.9
TXN_000035,PRD_0026,1,106.31,0.0,106.31
TXN_000035,PRD_0033,2,529.53,0.1,953.15
TXN_000035,PRD_0072,1,104.39,0.0,104.39
TXN_000035,PRD_0053,1,422.1,0.0,422.1
TXN_000036,PRD_0073,1,75.81,0.0,75.81
TXN_000037,PRD_0083,1,655.78,0.0,655.78
TXN_000037,PRD_0081,2,103.22,0.0,206.44
TXN_000038,PRD_0060,1,150.0,0.0,150.0
TXN_000039,PRD_0080,2,388.43,0.05,738.02
TXN_000040,PRD_0043,1,529.62,0.0,529.62
TXN_000041,PRD_0037,1,632.48,0.0,632.48
TXN_000042,PRD_0064,3,481.03,0.05,1370.94
TXN_000042,PRD_0087,1,181.86,0.0,181.86
TXN_000042,PRD_0085,1,654.34,0.0,654.34
TXN_000042,PRD_0074,1,306.03,0.05,290.73
TXN_000043,PRD_0067,1,112.35,0.0,112.35
TXN_000044,PRD_0051,2,64.17,0.25,96.25
TXN_000045,PRD_0068,1,70.0,0.0,70.0
TXN_000046,PRD_0091,1,205.33,0.1,184.8
TXN_000047,PRD_0032,2,551.04,0.05,1046.98
TXN_000047,PRD_0092,1,559.06,0.1,503.15
TXN_000048,PRD_0013,3,121.79,0.05,347.1
TXN_000049,PRD_0020,3,375.77,0.0,1127.31
TXN_000049,PRD_0066,1,391.92,0.1,352.73
TXN_000050,PRD_0050,3,442.53,0.0,1327.59
TXN_000050,PRD_0063,1,519.58,0.0,519.58
TXN_000051,PRD_0017,2,813.74,0.05,1546.11
TXN_000052,PRD_0046,1,613.87,0.25,460.4
TXN_000052,PRD_0068,1,70.0,0.0,70.0
TXN_000053,PRD_0047,1,546.47,0.0,546.47
TXN_000054,PRD_0062,2,804.71,0.05,1528.95
TXN_000055,PRD_0092,1,559.06,0.0,559.06
TXN_000056,PRD_0048,1,706.28,0.1,635.65
TXN_000056,PRD_0091,1,205.33,0.05,195.06
TXN_000056,PRD_0006,1,708.37,0.0,708.37
TXN_000057,PRD_0051,1,64.17,0.0,64.17
TXN_000058,PRD_0080,1,388.43,0.0,388.43
TXN_000058,PRD_0012,2,684.54,0.0,1369.08
TXN_000059,PRD_0020,2,375.77,0.05,713.96
TXN_000060,PRD_0059,1,362.7,0.0,362.7
TXN_000061,PRD_0087,1,181.86,0.0,181.86
TXN_000061,PRD_0071,4,276.94,0.15,941.6
TXN_000062,PRD_0006,1,708.37,0.0,708.37
TXN_000062,PRD_0054,2,206.81,0.05,392.94
TXN_000062,PRD_0042,1,520.83,0.0,520.83
TXN_000063,PRD_0063,1,519.58,0.15,441.64
TXN_000064,PRD_0068,1,70.0,0.05,66.5
TXN_000064,PRD_0058,1,540.58,0.1,486.52
TXN_000065,PRD_0035,1,495.02,0.0,495.02
TXN_000065,PRD_0007,1,206.74,0.0,206.74
TXN_000066,PRD_0081,1,103.22,0.0,103.22
TXN_000066,PRD_0008,1,578.95,0.1,521.06
TXN_000066,PRD_0015,1,628.17,0.0,628.17
TXN_000066,PRD_0051,2,64.17,0.0,128.34
TXN_000067,PRD_0051,2,64.17,0.0,128.34
TXN_000067,PRD_0050,1,442.53,0.1,398.28
TXN_000068,PRD_0001,1,524.05,0.0,524.05
TXN_000068,PRD_0053,3,422.1,0.0,1266.3
TXN_000068,PRD_0084,1,472.52,0.15,401.64
TXN_000068,PRD_0012,2,684.54,0.0,1369.08
TXN_000068,PRD_0020,2,375.77,0.0,751.54
TXN_000069,PRD_0059,2,362.7,0.0,725.4
TXN_000070,PRD_0044,1,586.75,0.05,557.41
TXN_000070,PRD_0058,1,540.58,0.1,486.52
TXN_000070,PRD_0024,1,199.0,0.05,189.05
TXN_000070,PRD_0001,1,524.05,0.15,445.44
TXN_000071,PRD_0079,1,308.27,0.0,308.27
TXN_000071,PRD_0009,1,28.73,0.0,28.73
TXN_000071,PRD_0075,1,281.62,0.0,281.62
TXN_000071,PRD_0085,1,654.34,0.0,654.34
TXN_000071,PRD_0030,2,179.85,0.0,359.7
TXN_000072,PRD_0032,1,551.04,0.0,551.04
TXN_000072,PRD_0082,2,842.63,0.0,1685.26
TXN_000073,PRD_0060,1,150.0,0.0,150.0
TXN_000073,PRD_0002,1,470.35,0.0,470.35
TXN_000073,PRD_0032,1,551.04,0.0,551.04
TXN_000074,PRD_0067,1,112.35,0.05,106.73
TXN_000075,PRD_0019,1,661.28,0.0,661.28
TXN_000075,PRD_0002,1,470.35,0.0,470.35
